"State","ValueType","SourceType","Category","Saline","FacilityName","FacilityName1","FacilityName2","FacilityNumber","FacilityNumber1","FacilityNumber2","SourceName","SourceName1","SourceNumber","SourceNumber1","NAICS","SIC","Description","HUC8","HUC10","HUC12","AquiferName1","AquiferName2","BasinName1","BasinName2","Address1","City1","County1","State1","Zip1","Address2","City2","Zip2","Lat","Lon","Datum","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Units_monthly","Method_monthly","Annual_reported","Units_annual_reported","Method_annual_reported","DataProtected","FIPS5code","SITESELECTION_FACILITYID","SITESELECTION_NPDES_ID","SITESELECTION_NAME","SITESELECTION_ADDRESS","SITESELECTION_ADDRESS_Fix","SITESELECTION_ADRSFLAG","SITESELECTION_CITY","SITESELECTION_STATE","SITESELECTION_COUNTY","SITESELECTION_ZIP","SITESELECTION_FLAGZIP","SITESELECTION_PHONE","SITESELECTION_LATITUDE","SITESELECTION_LONGITUDE","SITESELECTION_NAICS","SITESELECTION_NAICSDESCR","SITESELECTION_SIC","SITESELECTION_SICDESCR","SITESELECTION_FIPS","SITESELECTION_EMP","SITESELECTION_TotPerson","SITESELECTION_Area","SITESELECTION_AnnSaleVol","SITESELECTION_JobsReported","SITESELECTION_ZIP_PHONE","SITESELECTION_CITY_ADDRESS","SITESELECTION_LL_Src","SITESELECTION_DATASET_MATCHES_ALL2","SITESELECTION_NEW_REC","DataSource"
"VT","WD","GW","IN",NA,"advanced illumination incorporated",NA,NA,"VT0021345",NA,NA,"well",NA,"WL001",NA,"335",NA,NA,"10801050","1080105010","10801050102",NA,NA,NA,NA,NA,"Rochester",NA,NA,NA,NA,NA,NA,"43.857194","-72.814805",NA,2014,NA,NA,NA,NA,NA,NA,NA,6660,6140,7720,6510,5670,"gallons per month","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/VT/VermontIndustrial_WU_info.xlsx$VT, /VT/VermontIndustrial_WU_info.xlsx$metadata"
"VT","WD","GW","IN",NA,"advanced illumination incorporated",NA,NA,"VT0021345",NA,NA,"well",NA,"WL001",NA,"335",NA,NA,"10801050","1080105010","10801050102",NA,NA,NA,NA,NA,"Rochester",NA,NA,NA,NA,NA,NA,"43.857194","-72.814805",NA,2015,8260,6140,7530,7900,3750,12040,7180,8180,7920,7640,6420,6620,"gallons per month","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/VT/VermontIndustrial_WU_info.xlsx$VT, /VT/VermontIndustrial_WU_info.xlsx$metadata"
"VT","WD","GW","IN",NA,"advanced illumination incorporated",NA,NA,"VT0021345",NA,NA,"well",NA,"WL001",NA,"335",NA,NA,"10801050","1080105010","10801050102",NA,NA,NA,NA,NA,"Rochester",NA,NA,NA,NA,NA,NA,"43.857194","-72.814805",NA,2016,7530,14800,8800,7900,7800,8230,7500,7830,7330,7780,7180,5090,"gallons per month","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/VT/VermontIndustrial_WU_info.xlsx$VT, /VT/VermontIndustrial_WU_info.xlsx$metadata"
"VT","WD","GW","IN",NA,"advanced illumination incorporated",NA,NA,"VT0021345",NA,NA,"well",NA,"WL001",NA,"335",NA,NA,"10801050","1080105010","10801050102",NA,NA,NA,NA,NA,"Rochester",NA,NA,NA,NA,NA,NA,"43.857194","-72.814805",NA,2017,8570,7680,6800,6920,NA,7560,5970,8220,7310,8000,7380,6800,"gallons per month","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/VT/VermontIndustrial_WU_info.xlsx$VT, /VT/VermontIndustrial_WU_info.xlsx$metadata"
"VT","WD","GW","IN",NA,"advanced illumination incorporated",NA,NA,"VT0021345",NA,NA,"well",NA,"WL001",NA,"335",NA,NA,"10801050","1080105010","10801050102",NA,NA,NA,NA,NA,"Rochester",NA,NA,NA,NA,NA,NA,"43.857194","-72.814805",NA,2018,8210,12450,6640,7710,7860,6150,7100,7900,5790,5920,6730,8000,"gallons per month","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/VT/VermontIndustrial_WU_info.xlsx$VT, /VT/VermontIndustrial_WU_info.xlsx$metadata"
"VT","WD","GW","IN",NA,"advanced illumination incorporated",NA,NA,"VT0021345",NA,NA,"well",NA,"WL001",NA,"335",NA,NA,"10801050","1080105010","10801050102",NA,NA,NA,NA,NA,"Rochester",NA,NA,NA,NA,NA,NA,"43.857194","-72.814805",NA,2019,8140,6510,6000,6750,6950,6910,7000,7260,7340,7000,5640,5240,"gallons per month","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/VT/VermontIndustrial_WU_info.xlsx$VT, /VT/VermontIndustrial_WU_info.xlsx$metadata"
"VT","WD","GW","IN",NA,"advanced illumination incorporated",NA,NA,"VT0021345",NA,NA,"well",NA,"WL001",NA,"335",NA,NA,"10801050","1080105010","10801050102",NA,NA,NA,NA,NA,"Rochester",NA,NA,NA,NA,NA,NA,"43.857194","-72.814805",NA,2020,8030,6800,6370,3730,4300,4580,5760,5600,3100,3130,2930,7190,"gallons per month","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/VT/VermontIndustrial_WU_info.xlsx$VT, /VT/VermontIndustrial_WU_info.xlsx$metadata"
"VT","WD","GW","IN",NA,"advanced illumination incorporated",NA,NA,"VT0021345",NA,NA,"well",NA,"WL001",NA,"335",NA,NA,"10801050","1080105010","10801050102",NA,NA,NA,NA,NA,"Rochester",NA,NA,NA,NA,NA,NA,"43.857194","-72.814805",NA,2021,5470,2800,9040,5810,5410,5310,5560,8160,NA,NA,NA,NA,"gallons per month","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/VT/VermontIndustrial_WU_info.xlsx$VT, /VT/VermontIndustrial_WU_info.xlsx$metadata"
"VT","WD","GW","IN","NA","agric mark incorporated","dairy processing",NA,"21322","NA",NA,"NA",NA,"NA",NA,"NA","2022","Dairy Processing","NA","NA","NA",NA,NA,"NA",NA,"869 Exchange Street","Middlebury","NA","VT",NA,"NA",NA,NA,"44.031930000000003","-73.172259999999994","NA",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gallons per month","NA",NA,"gal","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/VT/2008_2019_ Vermont_Yearly_Large_GW_Withdrawal.xlsx$GW Withdrawal Yearly, /VT/VermontIndustrial_WU_info.xlsx$metadata, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"VT","WD","GW","IN","NA","agric mark incorporated","dairy processing",NA,"21322","NA",NA,"well",NA,"NA",NA,"NA","2022","Dairy Processing","NA","NA","NA","n400nynecb","n400nynecb","NA",NA,"869 Exchange Street","Middlebury","Addison","VT",NA,"NA",NA,NA,"44.031930000000003","-73.172259999999994","NA",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gallons per month","NA",1247766,"gal","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/VT/2008_2019_ Vermont_Yearly_Large_GW_Withdrawal.xlsx$GW Withdrawal Yearly, /VT/VermontLARGEIndustrial_WU_info.xlsx$Sheet1, /VT/VermontIndustrial_WU_info.xlsx$metadata, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
