"State","ValueType","SourceType","Category","Saline","FacilityName","FacilityName1","FacilityName2","FacilityNumber","FacilityNumber1","FacilityNumber2","SourceName","SourceName1","SourceNumber","SourceNumber1","NAICS","SIC","Description","HUC8","HUC10","HUC12","AquiferName1","AquiferName2","BasinName1","BasinName2","Address1","City1","County1","State1","Zip1","Address2","City2","Zip2","Lat","Lon","Datum","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Units_monthly","Method_monthly","Annual_reported","Units_annual_reported","Method_annual_reported","DataProtected","FIPS5code","DataSource"
"OH","RL","SW","IN","NA","8526 10055","NA",NA,"939800010010054","NA",NA,"939000000008526",NA,"939800010010054",NA,"NA","NA","NA","5060002","5060002","5060002",NA,NA,"lower scioto",NA,"Jaybird Rd., Box 338","NA","ADAMS",NA,NA,"NA",NA,NA,"NA","NA","NA",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","Estimated",0,"mgal","Estimated",NA,"39001","natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712, CountyFIPS.csv"
"OH","RL","SW","IN","NA","8848 10849","NA",NA,"939800010010848","NA",NA,"939000000008848",NA,"939800010010848",NA,"NA","3599","Industrial and Commercial Machinery and Equipment, Not Elsewhere Classified","5090201","5090201","5090201",NA,NA,"ohio brush whiteoak",NA,"St. Rt. 41","NA","ADAMS",NA,NA,"NA",NA,NA,"NA","NA","NA",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","Estimated",1296,"mgal","Estimated",NA,"39001","natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712, CountyFIPS.csv"
"OH","WD","SW","IN","NA","939000000008848","NA",NA,"939000000008848","NA",NA,"copeland corporation",NA,"939000000008848",NA,"NA","3599","Industrial and Commercial Machinery and Equipment, Not Elsewhere Classified","50902010","5090201070","50902010702",NA,NA,"headwaters east fork eagle creek",NA,"NA","NA","ADAMS",NA,NA,"St. Rt. 41",NA,NA,"38.7875722612824","-83.5565825766146","NAD27",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","Estimated",1425,"gal per day","Estimated",NA,"39001","natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712, CountyFIPS.csv"
"OH","RL","SW","IN","NA","8849 10850","NA",NA,"939800010010849","NA",NA,"939000000008849",NA,"939800010010849",NA,"NA","2819","Industrial Inorganic Chemicals, Not Elsewhere Classified","4100007","4100007","4100007",NA,NA,"auglaize",NA,"St.rt.65andschindler R","NA","ALLEN",NA,NA,"NA",NA,NA,"NA","NA","NA",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","Estimated",0,"mgal","Estimated",NA,"39003","natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712, CountyFIPS.csv"
"OH","RL","SW","IN","NA","8850 10851","NA",NA,"939800010010850","NA",NA,"939000000008850",NA,"939800010010850",NA,"NA","2013","Sausages and Other Prepared Meat Products","4100007","4100007","4100007",NA,NA,"auglaize",NA,"NA","NA","ALLEN",NA,NA,"NA",NA,NA,"NA","NA","NA",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","Estimated",0,"mgal","Estimated",NA,"39003","natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712, CountyFIPS.csv"
"OH","RL","SW","IN","NA","8851 10853","NA",NA,"939800010010852","NA",NA,"939000000008851",NA,"939800010010852",NA,"NA","2869","Industrial Organic Chemicals, Not Elsewhere Classified","4100007","4100007","4100007",NA,NA,"auglaize",NA,"Ft.amanda And Adgate R","NA","ALLEN",NA,NA,"NA",NA,NA,"NA","NA","NA",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","Estimated",7671,"mgal","Estimated",NA,"39003","natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712, CountyFIPS.csv"
"OH","RL","SW","IN","NA","8852 10855","NA",NA,"939800010010854","NA",NA,"939000000008852",NA,"939800010010854",NA,"NA","2911","Petroleum Refining","4100007","4100007","4100007",NA,NA,"auglaize",NA,"1150 S. Metcalf St.","NA","ALLEN",NA,NA,"NA",NA,NA,"NA","NA","NA",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","Estimated",14246,"mgal","Estimated",NA,"39003","natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712, CountyFIPS.csv"
"OH","RL","SW","IN","NA","8853 10857","NA",NA,"939800010010856","NA",NA,"939000000008853",NA,"939800010010856",NA,"NA","3471","Electroplating, Plating, Polishing, Anodizing, and Coloring","4100007","4100007","4100007",NA,NA,"auglaize",NA,"220 S. Elizabeth St.","NA","ALLEN",NA,NA,"NA",NA,NA,"NA","NA","NA",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","Estimated",219,"mgal","Estimated",NA,"39003","natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712, CountyFIPS.csv"
"OH","RL","SW","IN","NA","8854 10858","NA",NA,"939800010010857","NA",NA,"939000000008854",NA,"939800010010857",NA,"NA","3711","Motor Vehicles and Passenger Car Bodies","4100007","4100007","4100007",NA,NA,"auglaize",NA,"NA","NA","ALLEN",NA,NA,"NA",NA,NA,"NA","NA","NA",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","Estimated",0,"mgal","Estimated",NA,"39003","natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712, CountyFIPS.csv"
"OH","RL","SW","IN","NA","8855 10859","NA",NA,"939800010010858","NA",NA,"939000000008855",NA,"939800010010858",NA,"NA","2011","Meat Packing Plants","4100007","4100007","4100007",NA,NA,"auglaize",NA,"NA","NA","ALLEN",NA,NA,"NA",NA,NA,"NA","NA","NA",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","Estimated",0,"mgal","Estimated",NA,"39003","natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712, CountyFIPS.csv"
