"State","ValueType","SourceType","Category","Saline","FacilityName","FacilityName1","FacilityName2","FacilityNumber","FacilityNumber1","FacilityNumber2","SourceName","SourceName1","SourceNumber","SourceNumber1","NAICS","SIC","Description","HUC8","HUC10","HUC12","AquiferName1","AquiferName2","BasinName1","BasinName2","Address1","City1","County1","State1","Zip1","Address2","City2","State2","Zip2","Lat","Lon","Datum","Projection","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Units_monthly","Method_monthly","Annual_reported","Units_annual_reported","Method_annual_reported","DataProtected","FIPS5code","SITESELECTION_FACILITYID","SITESELECTION_NPDES_ID","SITESELECTION_NAME","SITESELECTION_ADDRESS","SITESELECTION_ADDRESS_Fix","SITESELECTION_ADRSFLAG","SITESELECTION_CITY","SITESELECTION_STATE","SITESELECTION_COUNTY","SITESELECTION_ZIP","SITESELECTION_FLAGZIP","SITESELECTION_PHONE","SITESELECTION_LATITUDE","SITESELECTION_LONGITUDE","SITESELECTION_NAICS","SITESELECTION_NAICSDESCR","SITESELECTION_SIC","SITESELECTION_SICDESCR","SITESELECTION_FIPS","SITESELECTION_EMP","SITESELECTION_TotPerson","SITESELECTION_Area","SITESELECTION_AnnSaleVol","SITESELECTION_JobsReported","SITESELECTION_ZIP_PHONE","SITESELECTION_CITY_ADDRESS","SITESELECTION_LL_Src","SITESELECTION_DATASET_MATCHES_ALL2","SITESELECTION_NEW_REC","DataSource"
"KY","WD","GW","IN","NA","AARHUSKARLSHAMN USA K1","NA",NA,"11518","NA",NA,"1038 RANNEY WELL",NA,"1038",NA,"NA","2046 - Wet Corn Milling","NA","NA","NA","NA",NA,NA,"NA",NA,"NA","NA","Jefferson",NA,NA,"NA",NA,NA,NA,"38.21361","-85.78389","NA",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"mgd","NA",0,"mgd","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/KY/Industrial_Water_Use_2000_2019.xls$Sheet1, /KY/read_me_072220.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"KY","WD","GW","IN","NA","AARHUSKARLSHAMN USA K1","NA",NA,"11518","NA",NA,"1038 RANNEY WELL",NA,"1038",NA,"NA","2046 - Wet Corn Milling","NA","NA","NA","NA",NA,NA,"NA",NA,"NA","NA","Jefferson",NA,NA,"NA",NA,NA,NA,"38.21361","-85.78389","NA",NA,2019,0,0,0,0,0,0,0,0,0,0,0,NA,"mgd","NA",0,"mgd","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/KY/Industrial_Water_Use_2000_2019.xls$Sheet1, /KY/read_me_072220.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"KY","WD","GW","IN","NA","ADVANCED DISPOSAL SERVICES BLUE RIDGE LANDFILL INCORPORATED","NA",NA,"998","NA",NA,"1368 WELL SUMP",NA,"1368",NA,"NA","4953 - Refuse Systems","NA","NA","NA","NA",NA,NA,"NA",NA,"NA","NA","Estill",NA,NA,"NA",NA,NA,NA,"37.738889","-83.983333","NA",NA,2002,0.041,0.041,0.043,0.04,0.04,0.04,0.035,0.008,0.045,0.024,0.029,0.038,"mgd","NA",0.035,"mgd","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/KY/Industrial_Water_Use_2000_2019.xls$Sheet1, /KY/read_me_072220.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"KY","WD","GW","IN","NA","ADVANCED DISPOSAL SERVICES BLUE RIDGE LANDFILL INCORPORATED","NA",NA,"998","NA",NA,"1368 WELL SUMP",NA,"1368",NA,"NA","4953 - Refuse Systems","NA","NA","NA","NA",NA,NA,"NA",NA,"NA","NA","Estill",NA,NA,"NA",NA,NA,NA,"37.738889","-83.983333","NA",NA,2003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.006,0.006,0.006,0.006,"mgd","NA",0.005,"mgd","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/KY/Industrial_Water_Use_2000_2019.xls$Sheet1, /KY/read_me_072220.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"KY","WD","GW","IN","NA","ADVANCED DISPOSAL SERVICES BLUE RIDGE LANDFILL INCORPORATED","NA",NA,"998","NA",NA,"1368 WELL SUMP",NA,"1368",NA,"NA","4953 - Refuse Systems","NA","NA","NA","NA",NA,NA,"NA",NA,"NA","NA","Estill",NA,NA,"NA",NA,NA,NA,"37.738889","-83.983333","NA",NA,2004,0,0,0,0,0,0,0,0,0,0,0,0,"mgd","NA",0,"mgd","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/KY/Industrial_Water_Use_2000_2019.xls$Sheet1, /KY/read_me_072220.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"KY","WD","GW","IN","NA","ADVANCED DISPOSAL SERVICES BLUE RIDGE LANDFILL INCORPORATED","NA",NA,"998","NA",NA,"1368 WELL SUMP",NA,"1368",NA,"NA","4953 - Refuse Systems","NA","NA","NA","NA",NA,NA,"NA",NA,"NA","NA","Estill",NA,NA,"NA",NA,NA,NA,"37.738889","-83.983333","NA",NA,2005,0.001,0,0,0,0,0,0,0,0,0,0,0,"mgd","NA",0,"mgd","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/KY/Industrial_Water_Use_2000_2019.xls$Sheet1, /KY/read_me_072220.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"KY","WD","GW","IN","NA","ADVANCED DISPOSAL SERVICES BLUE RIDGE LANDFILL INCORPORATED","NA",NA,"998","NA",NA,"1368 WELL SUMP",NA,"1368",NA,"NA","4953 - Refuse Systems","NA","NA","NA","NA",NA,NA,"NA",NA,"NA","NA","Estill",NA,NA,"NA",NA,NA,NA,"37.738889","-83.983333","NA",NA,2006,0,0,0,0,0,0,0,0,0,0,0,0,"mgd","NA",0,"mgd","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/KY/Industrial_Water_Use_2000_2019.xls$Sheet1, /KY/read_me_072220.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"KY","WD","GW","IN","NA","ADVANCED DISPOSAL SERVICES BLUE RIDGE LANDFILL INCORPORATED","NA",NA,"998","NA",NA,"1368 WELL SUMP",NA,"1368",NA,"NA","4953 - Refuse Systems","NA","NA","NA","NA",NA,NA,"NA",NA,"NA","NA","Estill",NA,NA,"NA",NA,NA,NA,"37.738889","-83.983333","NA",NA,2007,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,"mgd","NA",0.047,"mgd","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/KY/Industrial_Water_Use_2000_2019.xls$Sheet1, /KY/read_me_072220.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"KY","WD","GW","IN","NA","ADVANCED DISPOSAL SERVICES BLUE RIDGE LANDFILL INCORPORATED","NA",NA,"998","NA",NA,"1368 WELL SUMP",NA,"1368",NA,"NA","4953 - Refuse Systems","NA","NA","NA","NA",NA,NA,"NA",NA,"NA","NA","Estill",NA,NA,"NA",NA,NA,NA,"37.738889","-83.983333","NA",NA,2008,0.026,0.016,0.003,0.033,0.035,0.024,0.016,0.032,0.037,0.033,0.028,0,"mgd","NA",0.024,"mgd","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/KY/Industrial_Water_Use_2000_2019.xls$Sheet1, /KY/read_me_072220.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"KY","WD","GW","IN","NA","ADVANCED DISPOSAL SERVICES BLUE RIDGE LANDFILL INCORPORATED","NA",NA,"998","NA",NA,"1368 WELL SUMP",NA,"1368",NA,"NA","4953 - Refuse Systems","NA","NA","NA","NA",NA,NA,"NA",NA,"NA","NA","Estill",NA,NA,"NA",NA,NA,NA,"37.738889","-83.983333","NA",NA,2009,0,0,0,0,0,0,0.029,0.03,0.029,0.03,0.03,0.03,"mgd","NA",0.015,"mgd","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/KY/Industrial_Water_Use_2000_2019.xls$Sheet1, /KY/read_me_072220.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
