"State","ValueType","SourceType","Category","Saline","FacilityName","FacilityName1","FacilityName2","FacilityNumber","FacilityNumber1","FacilityNumber2","SourceName","SourceName1","SourceNumber","SourceNumber1","NAICS","SIC","Description","HUC8","HUC10","HUC12","AquiferName1","AquiferName2","BasinName1","BasinName2","Address1","City1","County1","State1","Zip1","Address2","City2","Zip2","Lat","Lon","Datum","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Units_monthly","Method_monthly","Annual_reported","Units_annual_reported","Method_annual_reported","DataProtected"
"NH","RL","NA","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"evaporative losses",NA,"20136-D04",NA,"NA","2661","Cooling and Heating",NA,NA,NA,NA,NA,"evaporative losses",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","NA","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"landfill",NA,"20136-D03",NA,"NA","2661","Industrial",NA,NA,NA,NA,NA,"landfill",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"septic system",NA,"20136-D01",NA,"NA","2661","Leach Field",NA,NA,NA,NA,NA,"septic system",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2004,NA,NA,NA,NA,NA,NA,46.936,95.664,38.264,36.352,29.192,27.816,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"septic system",NA,"20136-D01",NA,"NA","2661","Leach Field",NA,NA,NA,NA,NA,"septic system",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2005,76.944,35256,43.096,30.176,19.464,25.752,65.968,81.296,73.776,45.536,46.384,46.416,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"septic system",NA,"20136-D01",NA,"NA","2661","Leach Field",NA,NA,NA,NA,NA,"septic system",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2006,54.192,51.16,44.936,48.776,39.168,54.55,69.018,52.359,68.393,45.92,67.816,53.2,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"septic system",NA,"20136-D01",NA,"NA","2661","Leach Field",NA,NA,NA,NA,NA,"septic system",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2007,77.304,52.04,55.296,60.784,62.816,72.592,84.208,100.392,51.232,54.056,53.704,56.032,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"septic system",NA,"20136-D01",NA,"NA","2661","Leach Field",NA,NA,NA,NA,NA,"septic system",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2008,56.2,63.048,42.28,62.312,62.184,73.336,83.856,83.848,73.504,46.352,41.736,33.992,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"septic system",NA,"20136-D01",NA,"NA","2661","Leach Field",NA,NA,NA,NA,NA,"septic system",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2009,60.84,58.13,20.347,41.291,38.232,49.672,69.792,64.977,38.455,66.528,33.104,37.192,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"septic system",NA,"20136-D01",NA,"NA","2661","Leach Field",NA,NA,NA,NA,NA,"septic system",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2010,46.584,24.584,32.528,41.856,69.112,63.696,64.8,78.04,61.376,37.2,57.024,30.92,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"septic system",NA,"20136-D01",NA,"NA","2661","Leach Field",NA,NA,NA,NA,NA,"septic system",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2011,51.712,34.384,47.792,44.192,44.704,59.552,58.096,64.862,74.72,52.04,29.608,29.608,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"septic system",NA,"20136-D01",NA,"NA","2661","Leach Field",NA,NA,NA,NA,NA,"septic system",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2012,63.92,22.384,31.224,53.259,54.813,41.216,4.698,3.846,4.591,4.585,3.754,2.07,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"septic system",NA,"20136-D01",NA,"NA","2661","Leach Field",NA,NA,NA,NA,NA,"septic system",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2013,4.15,7.336,3.817,7.994,3.943,2.923,2.85,2.816,3.115,3.827,3.846,3.526,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"septic system",NA,"20136-D01",NA,"NA","2661","Leach Field",NA,NA,NA,NA,NA,"septic system",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2014,3.136,3.717,3.742,3.787,3.553,3.496,3.071,3.318,3.176,3.112,3.302,3.236,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"septic system",NA,"20136-D01",NA,"NA","2661","Leach Field",NA,NA,NA,NA,NA,"septic system",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2015,3.449,3.167,3.774,3.741,3.342,3.938,3.283,3.286,3.377,3.494,2.954,3.046,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"septic system",NA,"20136-D01",NA,"NA","2661","Leach Field",NA,NA,NA,NA,NA,"septic system",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2016,3.449,3.732,3.934,3.952,3.724,3.734,3.346,3.075,2.917,3.338,2.603,2.566,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"septic system",NA,"20136-D01",NA,"NA","2661","Leach Field",NA,NA,NA,NA,NA,"septic system",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2017,3.982,1.582,3.293,4.174,5.091,3.616,2.614,3.68,2.331,NA,NA,NA,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"wastewater lagoons",NA,"20136-D02",NA,"NA","2661","Lagoon",NA,NA,NA,NA,NA,"wastewater lagoons",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2000,4229.333,4055.576,4020.248,3841.864,4109.971,3909.77,1852.157,4288.327,3895.059,3677.186,5150.222,4367.299,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"wastewater lagoons",NA,"20136-D02",NA,"NA","2661","Lagoon",NA,NA,NA,NA,NA,"wastewater lagoons",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2001,3758.634,3066.158,2963.153,3891.337,4699.69,1753.824,2451.106,1555.456,2066.261,3560.748,3091.801,2680.363,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"wastewater lagoons",NA,"20136-D02",NA,"NA","2661","Lagoon",NA,NA,NA,NA,NA,"wastewater lagoons",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2002,1869.726,1654.278,1534.315,3453.447,3089.808,3267.948,1674.629,2604.984,1488.565,2418.949,1860.702,2929.783,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"wastewater lagoons",NA,"20136-D02",NA,"NA","2661","Lagoon",NA,NA,NA,NA,NA,"wastewater lagoons",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2003,3349.812,2692.582,3198.819,2632,2444,1692,1410,2984.5,2350,2303,2593.253,2378.67,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"wastewater lagoons",NA,"20136-D02",NA,"NA","2661","Lagoon",NA,NA,NA,NA,NA,"wastewater lagoons",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2004,1759.202,1949.462,2680.833,3794.282,4140.614,2914,1598,3339.956,4652.487,2743.86,3338.88,3837.626,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"wastewater lagoons",NA,"20136-D02",NA,"NA","2661","Lagoon",NA,NA,NA,NA,NA,"wastewater lagoons",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2005,104.355,153.584,116.779,4593.122,3367.916,3243,940,3689.5,1235.057,1732.264,1988.373,961.989,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"wastewater lagoons",NA,"20136-D02",NA,"NA","2661","Lagoon",NA,NA,NA,NA,NA,"wastewater lagoons",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2006,1278.115,1464.633,1868.955,2632.804,1690.741,2273.914,1126.36,2008.831,1935.874,57.349,55.414,54.322,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"wastewater lagoons",NA,"20136-D02",NA,"NA","2661","Lagoon",NA,NA,NA,NA,NA,"wastewater lagoons",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2007,1368.372,1880,3727.1,2719.76,2433.857,2756.108,3119.813,3308.782,2483.793,2889.654,3478.699,3233.696,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"wastewater lagoons",NA,"20136-D02",NA,"NA","2661","Lagoon",NA,NA,NA,NA,NA,"wastewater lagoons",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2008,2909.714,3365.118,4053.93,4058.168,2218.691,3689.132,1837.7,3872.8,NA,1479.191,1423.458,143.545,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"wastewater lagoons",NA,"20136-D02",NA,"NA","2661","Lagoon",NA,NA,NA,NA,NA,"wastewater lagoons",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2009,1548.721,824.309,879.207,1144.223,525.608,698.728,1418.965,965.948,843.509,839.836,513.944,627.94,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"wastewater lagoons",NA,"20136-D02",NA,"NA","2661","Lagoon",NA,NA,NA,NA,NA,"wastewater lagoons",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2010,979.892,1064.708,669.305,1214.198,1119.36,1236.702,780.9,3141.675,839.836,1594.731,1253.341,577.179,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"wastewater lagoons",NA,"20136-D02",NA,"NA","2661","Lagoon",NA,NA,NA,NA,NA,"wastewater lagoons",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2011,1037.184,1892.659,1711.058,915.341,1617.481,1959.579,1157.633,1437.605,587.469,2046.052,3227.58,697.861,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"wastewater lagoons",NA,"20136-D02",NA,"NA","2661","Lagoon",NA,NA,NA,NA,NA,"wastewater lagoons",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2012,834.428,2460.04,3409.294,1988.176,2054.014,2249.965,930.863,1774.194,1383.482,1573.024,1625.017,487.372,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"wastewater lagoons",NA,"20136-D02",NA,"NA","2661","Lagoon",NA,NA,NA,NA,NA,"wastewater lagoons",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2013,1913.992,1361.532,2166.674,1833.129,2054.014,1645,1114.243,1588.96,1314.308,388.054,902.98,1340.347,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"wastewater lagoons",NA,"20136-D02",NA,"NA","2661","Lagoon",NA,NA,NA,NA,NA,"wastewater lagoons",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2014,1531.978,1389.072,1383.475,1032.41,1779.407,1682.733,1112.08,1093.148,1711.428,1275.071,798.146,1081.676,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"wastewater lagoons",NA,"20136-D02",NA,"NA","2661","Lagoon",NA,NA,NA,NA,NA,"wastewater lagoons",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2015,1313.647,1189.03,953.612,1913.871,1537.592,1501.898,1482.341,858.481,1296.138,1420.845,1240.96,1164.026,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"wastewater lagoons",NA,"20136-D02",NA,"NA","2661","Lagoon",NA,NA,NA,NA,NA,"wastewater lagoons",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2016,1313.647,1305.345,1280.669,1306.362,1897.99,1036.196,1263.707,1217.404,1155.793,1216.616,897.179,815.185,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"wastewater lagoons",NA,"20136-D02",NA,"NA","2661","Lagoon",NA,NA,NA,NA,NA,"wastewater lagoons",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2017,1527.386,1362.379,1511.582,1446.74,1361.821,1385.233,1414.472,1640.256,1352.831,1546.469,1418.664,1038.217,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"wastewater lagoons",NA,"20136-D02",NA,"NA","2661","Lagoon",NA,NA,NA,NA,NA,"wastewater lagoons",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2018,1854.401,1604.139,2034.778,1409.205,1668.267,1244.78,1107.768,1714.81,1919.216,1991.89,1192.938,987.214,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"wastewater lagoons",NA,"20136-D02",NA,"NA","2661","Lagoon",NA,NA,NA,NA,NA,"wastewater lagoons",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2019,1907.727,1362.069,1086.868,2766.064,2357.988,3266.383,2286.472,3038.311,2539.268,2084.138,1820.234,1714.814,"thousand gallons","Metered",NA,NA,NA,NA
"NH","RL","GW","IN",NA,"3m corporation","3m corporation",NA,"NH0000167",NA,NA,"wastewater lagoons",NA,"20136-D02",NA,"NA","2661","Lagoon",NA,NA,NA,NA,NA,"wastewater lagoons",NA,"Manville Rd","Tilton",NA,"NH",NA,NA,NA,NA,"43.458333","71.545278",NA,2020,1945.116,2027.507,1532.218,1542.011,1118.018,1504.389,NA,NA,NA,NA,NA,NA,"thousand gallons","Metered",NA,NA,NA,NA
